TIME -> 0 = GOTO -> NAME:DELTA, BLOCKING_PATH:FALSE


//// ACID ////

! -> ACID_GROUP_2 = WAITFOR -> MOVE:14-7 ? MOVE:38-7
GOAL -> 38-7 = WAITFOR -> MOVE:39-7 ? FACING:DOWN


//// SAS ////

! -> SAS_GROUP_2 = SLOW -> 39-12
GOAL -> 39-12 = WAITFOR -> TIMER:1 ? SOUND:DOOR_UNLOCK, CREATE_PURPLE_DOOR_UP, WAITFOR_SAS_FREE
$ -> WAITFOR_SAS_FREE = WAITFOR -> TIMER:2 ? SOUND:DOOR_UNLOCK, DELETE_DOOR_DOWN, SLOW:40-21, WAITFOR_SAS_RESET
$ -> WAITFOR_SAS_RESET = WAITFOR -> TIMER:3 ? SOUND:DOOR_UNLOCK, CREATE_PURPLE_DOOR_DOWN, DELETE_DOOR_UP
GOAL -> 40-21 = FACING -> LEFT

$ -> CREATE_PURPLE_DOOR_UP = CREATE -> 39-11-FRONT:1-235-6
$ -> CREATE_PURPLE_DOOR_DOWN = CREATE -> 39-13-FRONT:1-235-6
$ -> DELETE_DOOR_UP = DELETE -> 39-11:WORLD,3
$ -> DELETE_DOOR_DOWN = DELETE -> 39-13:WORLD,3


//// TESLA ////

! -> TESLA = WAITFOR -> MOVE:36-21 ? SOUND_IF_CAMERA:SHORT_CIRCUIT, CREATE_BOLT_ANIMATION, CREATE_DYING_ANIMATION, DELETE_MYSELF:PROCESS
$ -> CREATE_BOLT_ANIMATION = CREATE_ANIMATION -> 36-19-FRONT:WORLD,1,5,LR01_LIGHTNINGS,5,FALSE
$ -> CREATE_DYING_ANIMATION = CREATE_ANIMATION -> 36-21-BACK:WORLD,1,1,LR01_DELTA,10,FALSE
