TIME -> 0 = GOTO -> NAME:WILLIAM, BLOCKING_PATH:FALSE


//// ACID ////

! -> ACID_GROUP_3 = WAITFOR -> MOVE:15-7 ? MOVE:38-7
GOAL -> 38-7 = WAITFOR -> MOVE:41-9 ? FACING:DOWN


//// SAS ////

! -> SAS_GROUP_3 = SLOW -> 41-12
GOAL -> 41-12 = WAITFOR -> TIMER:1 ? CREATE_PURPLE_DOOR_UP, WAITFOR_SAS_FREE
$ -> WAITFOR_SAS_FREE = WAITFOR -> TIMER:2 ? DELETE_DOOR_DOWN, SLOW:42-23, WAITFOR_SAS_RESET
$ -> WAITFOR_SAS_RESET = WAITFOR -> TIMER:3 ? CREATE_PURPLE_DOOR_DOWN, DELETE_DOOR_UP
GOAL -> 42-23 = FACING -> LEFT

$ -> CREATE_PURPLE_DOOR_UP = CREATE -> 41-11-FRONT:1-235-6
$ -> CREATE_PURPLE_DOOR_DOWN = CREATE -> 41-13-FRONT:1-235-6
$ -> DELETE_DOOR_UP = DELETE -> 41-11:WORLD,3
$ -> DELETE_DOOR_DOWN = DELETE -> 41-13:WORLD,3


//// TESLA ////

! -> TESLA = WAITFOR -> MOVE:26-13 ? FACING:DOWN
