TIME -> 0 = GOTO -> NAME:SERGENT, TEXTURE_NAME:MILITARYMAN


//// DARWIN ////

! -> IDIOT_IS_DEAD = GOTO -> EXPRESSION:EXCLAMATION, FAST:53-56
GOAL -> 53-56 = FAST -> 58-56
GOAL -> 58-56 = GOTO -> FACING:UP, A3_DARWIN_SERGENT
$ -> A3_DARWIN_SERGENT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT
SELFTALKING -> DARWIN*SERGENT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT_NEXT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT_NEXT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT_NEXT_NEXT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT_NEXT = ACTION_THREE -> TALK(ACCIDENT)DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT_NEXT_NEXT
SELFTALKING -> DARWIN*SERGENT_NEXT_NEXT_NEXT_NEXT_NEXT_NEXT = GOTO -> A3_DARWIN_SERGENT
