TIME -> 0 = GOTO -> COPY, COPY, COPY, COPY, COPY, COPY, COPY, COPY, COPY, AFFECTING:OBJECT*INIT


//// STATE ////

$ -> COPY = CREATE -> ONTHESPOT-FRONT:12-255-255
! -> INIT = GOTO -> BLOCKING_PATH:FALSE, BLOCKING_SIGHT:TRUE


//// SCENARIO GOOD ////

! -> HELPED_ROMEO = MEMORY -> HELPED_ROMEO ? NULL / MEMORY:HELPED_ROMEO, LOCAL_SCAN
! -> HELPED_AMIR = MEMORY -> HELPED_AMIR ? NULL / MEMORY:HELPED_AMIR, LOCAL_SCAN
! -> HELPED_RUNNER = MEMORY -> HELPED_RUNNER ? NULL / MEMORY:HELPED_RUNNER, LOCAL_SCAN
! -> HELPED_IDIOT = MEMORY -> HELPED_IDIOT ? NULL / MEMORY:HELPED_IDIOT, LOCAL_SCAN
! -> HELPED_SHOOTER = MEMORY -> HELPED_SHOOTER ? NULL / MEMORY:HELPED_SHOOTER, LOCAL_SCAN
! -> HELPED_SERGENT = MEMORY -> HELPED_SERGENT ? NULL / MEMORY:HELPED_SERGENT, LOCAL_SCAN
! -> HELPED_JESSY = MEMORY -> HELPED_JESSY ? NULL / MEMORY:HELPED_JESSY, LOCAL_SCAN
! -> HELPED_NANCY = MEMORY -> HELPED_NANCY ? NULL / MEMORY:HELPED_NANCY, LOCAL_SCAN
! -> HELPED_NATHAN = MEMORY -> HELPED_NATHAN ? NULL / MEMORY:HELPED_NATHAN, LOCAL_SCAN
! -> HELPED_CASSIDY = MEMORY -> HELPED_CASSIDY ? NULL / MEMORY:HELPED_CASSIDY, LOCAL_SCAN
! -> HELPED_DUPONT = MEMORY -> HELPED_DUPONT ? NULL / MEMORY:HELPED_DUPONT, LOCAL_SCAN
! -> HELPED_TRASHMAN = MEMORY -> HELPED_TRASHMAN ? NULL / MEMORY:HELPED_TRASHMAN, LOCAL_SCAN
! -> HELPED_JANITOR = MEMORY -> HELPED_JANITOR ? NULL / MEMORY:HELPED_JANITOR, LOCAL_SCAN
! -> HELPED_SLACKER = MEMORY -> HELPED_SLACKER ? NULL / MEMORY:HELPED_SLACKER, LOCAL_SCAN
$ -> LOCAL_SCAN = MEMORY -> SCENARIO_BAD ? NULL / ADD_COUNTER_GOOD_CONDITIONNAL, BLOCKING_SIGHT:FALSE, AFFECTING:OBJ-05*SCAN_NUM_OF_HELP, DELETE_MYSELF_CONDITIONNAL
$ -> ADD_COUNTER_GOOD_CONDITIONNAL = MEMORY -> SCENARIO_GOOD ? ADD_COUNTER_ONE / NULL
$ -> ADD_COUNTER_ONE = COUNTER_ONE -> ADD, 1
$ -> DELETE_MYSELF_CONDITIONNAL = MEMORY -> HELPED_ENOUGH_PEOPLE ? SCAN_ACHIEVEMENT / DELETE_MYSELF:PROCESS
$ -> SCAN_ACHIEVEMENT = MEMORY -> HELPED_10 ? PARSE_HELPED_11 / MEMORY:HELPED_10
$ -> PARSE_HELPED_11 = MEMORY -> HELPED_11 ? PARSE_HELPED_12 / MEMORY:HELPED_11
$ -> PARSE_HELPED_12 = MEMORY -> HELPED_12 ? PARSE_HELPED_13 / MEMORY:HELPED_12
$ -> PARSE_HELPED_13 = MEMORY -> HELPED_13 ? ACHIEVEMENT:ALLACCOUNTEDFOR / MEMORY:HELPED_13


//// SCENARIO BAD ////

! -> BULLIED_AMIR = MEMORY -> BULLIED_AMIR ? NULL / MEMORY:BULLIED_AMIR, ADD_COUNTER_BAD_CONDITIONNAL
! -> BULLIED_IDIOT = MEMORY -> BULLIED_IDIOT ? NULL / MEMORY:BULLIED_IDIOT, ADD_COUNTER_BAD_CONDITIONNAL
! -> BULLIED_SHOOTER = MEMORY -> BULLIED_SHOOTER ? NULL / MEMORY:BULLIED_SHOOTER, ADD_COUNTER_BAD_CONDITIONNAL
! -> BULLIED_NATHAN = MEMORY -> BULLIED_NATHAN ? NULL / MEMORY:BULLIED_NATHAN, ADD_COUNTER_BAD_CONDITIONNAL
! -> BULLIED_REBECCA = MEMORY -> BULLIED_REBECCA ? NULL / MEMORY:BULLIED_REBECCA, ADD_COUNTER_BAD_CONDITIONNAL
! -> BULLIED_TRASHMAN = MEMORY -> BULLIED_TRASHMAN ? NULL / MEMORY:BULLIED_TRASHMAN, ADD_COUNTER_BAD_CONDITIONNAL
$ -> ADD_COUNTER_BAD_CONDITIONNAL = MEMORY -> SCENARIO_BAD ? ADD_COUNTER_ONE / NULL
