TIME -> 0 = GOTO -> NAME:TARGET, HITBOX_INIT
$ -> HITBOX_INIT = HITBOX -> 7,-9,16,32


//// NANCY CRYING ////

TALKED -> DARWIN*NANCY = WAITFOR -> TIMER:8 ? AFFECTING:NANCY*TALK_NANCY_CRYING


//// JESSY CHOKING ////

! -> JESSY_IS_WAITING = WAITFOR -> TIMER:60 ? MEMORY:JESSY_WAITED_BEHING_COLD_ROOM


//// PUSH UP ////

! -> DO_ONE_PUSHUP = MEMORY -> PUSHUP_01 ? PARSE_PUSHUP_02 / MEMORY:PUSHUP_01, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_02 = MEMORY -> PUSHUP_02 ? PARSE_PUSHUP_03 / MEMORY:PUSHUP_02, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_03 = MEMORY -> PUSHUP_03 ? PARSE_PUSHUP_04 / MEMORY:PUSHUP_03, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_04 = MEMORY -> PUSHUP_04 ? PARSE_PUSHUP_05 / MEMORY:PUSHUP_04, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_05 = MEMORY -> PUSHUP_05 ? PARSE_PUSHUP_06 / MEMORY:PUSHUP_05, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_06 = MEMORY -> PUSHUP_06 ? PARSE_PUSHUP_07 / MEMORY:PUSHUP_06, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_07 = MEMORY -> PUSHUP_07 ? PARSE_PUSHUP_08 / MEMORY:PUSHUP_07, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_08 = MEMORY -> PUSHUP_08 ? PARSE_PUSHUP_09 / MEMORY:PUSHUP_08, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_09 = MEMORY -> PUSHUP_09 ? PARSE_PUSHUP_10 / MEMORY:PUSHUP_09, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_10 = MEMORY -> PUSHUP_10 ? PARSE_PUSHUP_11 / MEMORY:PUSHUP_10, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_11 = MEMORY -> PUSHUP_11 ? PARSE_PUSHUP_12 / MEMORY:PUSHUP_11, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_12 = MEMORY -> PUSHUP_12 ? PARSE_PUSHUP_13 / MEMORY:PUSHUP_12, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_13 = MEMORY -> PUSHUP_13 ? PARSE_PUSHUP_14 / MEMORY:PUSHUP_13, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_14 = MEMORY -> PUSHUP_14 ? PARSE_PUSHUP_15 / MEMORY:PUSHUP_14, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_15 = MEMORY -> PUSHUP_15 ? PARSE_PUSHUP_16 / MEMORY:PUSHUP_15, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_16 = MEMORY -> PUSHUP_16 ? PARSE_PUSHUP_17 / MEMORY:PUSHUP_16, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_17 = MEMORY -> PUSHUP_17 ? PARSE_PUSHUP_18 / MEMORY:PUSHUP_17, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_18 = MEMORY -> PUSHUP_18 ? PARSE_PUSHUP_19 / MEMORY:PUSHUP_18, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_19 = MEMORY -> PUSHUP_19 ? PARSE_PUSHUP_20 / MEMORY:PUSHUP_19, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_20 = MEMORY -> PUSHUP_20 ? PARSE_PUSHUP_21 / MEMORY:PUSHUP_20, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_21 = MEMORY -> PUSHUP_21 ? PARSE_PUSHUP_22 / MEMORY:PUSHUP_21, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_22 = MEMORY -> PUSHUP_22 ? PARSE_PUSHUP_23 / MEMORY:PUSHUP_22, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_23 = MEMORY -> PUSHUP_23 ? PARSE_PUSHUP_24 / MEMORY:PUSHUP_23, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_24 = MEMORY -> PUSHUP_24 ? PARSE_PUSHUP_25 / MEMORY:PUSHUP_24, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_25 = MEMORY -> PUSHUP_25 ? PARSE_PUSHUP_26 / MEMORY:PUSHUP_25, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_26 = MEMORY -> PUSHUP_26 ? PARSE_PUSHUP_27 / MEMORY:PUSHUP_26, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
$ -> PARSE_PUSHUP_27 = MEMORY -> PUSHUP_27 ? PARSE_PUSHUP_28 / MEMORY:PUSHUP_27, DO_PUSHUP, TALK:SERGENT*PUSHUP_AGAIN
