TIME -> 0 = GOTO -> NAME:NEUTRAL, HITBOX_NEUTRAL
$ -> HITBOX_NEUTRAL = HITBOX -> 6, 13, 4, 4


//// JESSY NANCY ////

! -> UNLOCKED_ARMORY_SECOND_DOOR = GOTO -> CREATE_UP_PREVENT_PLAYER_FROM_ENTERING_ARMORY, AFFECTING:OBJ-40*INIT_UP, CREATE_DOWN_PREVENT_PLAYER_FROM_ENTERING_ARMORY, AFFECTING:OBJ-40*INIT_DOWN
$ -> CREATE_UP_PREVENT_PLAYER_FROM_ENTERING_ARMORY = CREATE -> 50-38-FRONT:40-255-255
$ -> CREATE_DOWN_PREVENT_PLAYER_FROM_ENTERING_ARMORY = CREATE -> 50-40-FRONT:40-255-255
! -> INIT_UP = GOTO -> NAME:UP, HITBOX_UP, TP:48-38, WAITFOR_TIMER_ONE:DELETE_MYSELF:PROCESS
! -> INIT_DOWN = GOTO -> NAME:DOWN, HITBOX_DOWN, TP:48-40, WAITFOR_TIMER_ONE:DELETE_MYSELF:PROCESS
$ -> HITBOX_UP = HITBOX -> 0, 15, 16, 1
$ -> HITBOX_DOWN = HITBOX -> 0, 0, 16, 1
