TIME -> 0 = GOTO -> NAME:TRASHMAN, TEXTURE_NAME:MILITARYMAN


//// KEY QUEST ////

! -> KEY_IN_TRASH = ACTION_THREE -> CUSTOM(YELLOW_KEY)TALK_KEY_QUEST_TRASHMAN
$ -> TALK_KEY_QUEST_TRASHMAN = GOTO -> CUTSCENE:START, WAITFOR_TIMER_ONE:TALK:KEY_QUEST*TRASHMAN
SELFTALKING -> KEY_QUEST*TRASHMAN = GOTO -> WAITFOR_IS_IN_TRASH, PUSH:UP
$ -> WAITFOR_IS_IN_TRASH = WAITFOR -> PLAYER_FUTHER_THAN:3 ? TP:99-99, SOUND:TRASH_HIT, CREATE_TRASHMAN_IN_TRASH, CREATE_TRASH_HANDLER
$ -> SPEAD_INTERACTIVENESS_TRASH = SPREAD_INTERACTIVENESS -> ADD_KEEP_HIGHLIGHT, 6-37
$ -> CREATE_TRASH_HANDLER = GOTO -> CREATE_TRASH, AFFECTING:OBJ-18*INIT_TRASH
$ -> CREATE_TRASH = CREATE -> 6-37-FRONT:18-255-255
$ -> CREATE_TRASHMAN_IN_TRASH = CREATE_DECORATION -> 5-37-FRONT:WORLD,3,1,MILITARY,0-0,5-1
