TIME -> 0 = GOTO -> BLOCKING_PATH:FALSE, WAITFOR_PLAYER_CLOSE_ENOUGH


//// STATE ////

$ -> WAITFOR_PLAYER_CLOSE_ENOUGH = WAITFOR -> PLAYER_CLOSER_THAN:2 ? WAITFOR_PLAYER_CLOSE_ENOUGH_DELAYED, SEND_PLAYER_UP_CONDITIONNAL
$ -> WAITFOR_PLAYER_CLOSE_ENOUGH_DELAYED = WAITFOR -> TIMER:1 ? WAITFOR_PLAYER_CLOSE_ENOUGH
$ -> SEND_PLAYER_UP_CONDITIONNAL = FACING_PLAYER -> RIGHT ? SEND_PLAYER:UP / NULL


//// YY ////

TALKED -> YY*NICE_VIEW = WAITFOR -> PLAYER_FUTHER_THAN:7 ? CUTSCENE:START, AFFECTING:PLAYER*MOVE_TO_TANKS
