TIME -> 0 = GOTO -> NAME:REBECCA, FACING:UP


//// SMELL BAD ////

! -> SMELL_BAD_CUTSCENE = GOTO -> CUTSCENE:START, MOVE:29-20
GOAL -> 29-20 = TALK -> SMELL_BAD
TALKED -> SMELL_BAD = CUTSCENE -> STOP

//// BOSS ////

! -> FILL_UP = GOTO -> CREATE_BOMB, CREATE_SHOVEL, PICKUP_TOOL, PICKUP_TOOL
$ -> CREATE_BOMB = CREATE -> ONTHESPOT-BACK:2-2-255
$ -> CREATE_SHOVEL = CREATE -> ONTHESPOT-BACK:4-2-255
$ -> PICKUP_TOOL = PICKUP -> ONTHESPOT:1
! -> MOVE_PLAYER_AWAY_FROM_BOSS = GOTO -> FACING:BLAST-X, WAITFOR_START_DIG_ANIMATION, MOVE:17-13
GOAL -> 17-13 = GOTO -> FACING:RIGHT
$ -> WAITFOR_START_DIG_ANIMATION = WAITFOR -> TIMER:1 ? AFFECTING:NPC-03*START_DIG_ANIMATION
! -> NPC_BLAST_AWAKE = WAITFOR -> TIMER:4 ? SLOW:18-13
GOAL -> 18-13 = AFFECTING -> NPC-03*NPC_BLAST_AWAKE_AT_THE_BOTTOM
