TIME -> 0 = GOTO -> CREATE_CLONE, NAME:DELETE, AFFECTING:NPC-09*INIT, DELETE_MYSELF:PROCESS
$ -> CREATE_CLONE = CREATE -> ONTHESPOT-FRONT:255-9-0
! -> INIT = GOTO -> NAME:DUMMY_02, FACING:RIGHT, HITBOX_DANCEFLOOR


//// STATE ////

$ -> HITBOX_DANCEFLOOR = HITBOX -> 0, 4, 16, 16
$ -> HITBOX_NORMAL = HITBOX -> 0, 0, 16, 16


/// NEON SQUIRE ////

! -> NEON_SQUIRE = TRIPLE_ACTION -> TALK(NEED_HELP)DUMMY*AUTISM
! -> TA_IT_S_DONE = TRIPLE_ACTION -> CUTSTOM(IT_S_DONE)IT_S_DONE
$ -> IT_S_DONE = GOTO -> stuff
