TIME -> 0 = GOTO -> BLOCKING_PATH:FALSE, WAITFOR_PLAYER_CLOSER_ENOUGH


//// STATE ////

$ -> WAITFOR_NULL = WAITFOR -> NULL
$ -> DELETE_ONE_OF_TWO = DELETE -> 9-4:WORLD,1


//// BAR GOBELIN ////

$ -> WAITFOR_PLAYER_CLOSER_ENOUGH = WAITFOR -> PLAYER_CLOSER_THAN:1 ? AFFECTING:PLAYER*TP_TO_BAR, WAITFOR_PLAYER_CLOSER_ENOUGH
! -> SECRET_PATH_CLOSED = GOTO -> WAITFOR_PLAYER_CLOSER_ENOUGH
! -> SECRET_PATH = WAITFOR -> PLAYER_CLOSER_THAN:1 ? MEMORY:SECRET_PATH_TAKEN, AFFECTING:SECRET_PATH_TAKEN, AFFECTING:OBJ-03*DANCEFLOOR_PRINCE


//// NEON SQUIRE ////

! -> NEON_SQUIRE = GOTO -> DELETE_ONE_OF_TWO, TP:11-6, WAITFOR_ZAP_PLAYER
$ -> WAITFOR_ZAP_PLAYER = WAITFOR -> PLAYER_CLOSER_THAN:1 ? AFFECTING:PLAYER*PUSHED_TO_LEFT, SOUND:ZAP, WAITFOR_ZAP_PLAYER


//// DANCEFLOOR PRINCE ////

! -> DANCEFLOOR_PRINCE = GOTO -> DELETE_DANCEFLOOR, DELETE_MYSELF:PROCESS
$ -> DELETE_DANCEFLOOR = GOTO -> D_A1, D_B1, D_C1, D_D1, D_E1, D_F1, D_A2, D_F2, D_F3, D_A4, D_F4, D_A5, D_B5, D_C5, D_D5, D_E5, D_F5
$ -> D_A1 = DELETE -> 11-4:WORLD,1
$ -> D_B1 = DELETE -> 12-4:WORLD,1
$ -> D_C1 = DELETE -> 13-4:WORLD,1
$ -> D_D1 = DELETE -> 14-4:WORLD,1
$ -> D_E1 = DELETE -> 15-4:WORLD,1
$ -> D_F1 = DELETE -> 16-4:WORLD,1
$ -> D_A2 = DELETE -> 11-5:WORLD,1
$ -> D_F2 = DELETE -> 16-5:WORLD,1
$ -> D_F3 = DELETE -> 16-6:WORLD,1
$ -> D_A4 = DELETE -> 11-7:WORLD,1
$ -> D_F4 = DELETE -> 16-7:WORLD,1
$ -> D_A5 = DELETE -> 11-8:WORLD,1
$ -> D_B5 = DELETE -> 12-8:WORLD,1
$ -> D_C5 = DELETE -> 13-8:WORLD,1
$ -> D_D5 = DELETE -> 14-8:WORLD,1
$ -> D_E5 = DELETE -> 15-8:WORLD,1
$ -> D_F5 = DELETE -> 16-8:WORLD,1
