TIME -> 0 = GOTO -> TA_INIT


//// STATE ////

$ -> TA_INIT = TRIPLE_ACTION -> TALK(WATCH)OBJECT*RED_STRING


//// SECRET PATH ////

! -> NEON_SQUIRE = MEMORY -> SECRET_PATH_CANNOT_BE_OPENED
TALKED -> BOUNCER*BLOCKED_TWICE = MEMORY -> SECRET_PATH_CAN_BE_OPENED
TALKED -> BOUNCER*BLOCKED_THRICE = MEMORY -> SECRET_PATH_CANNOT_BE_OPENED
SELFTALKING -> OBJECT*RED_STRING = MEMORY -> SECRET_PATH_CANNOT_BE_OPENED ? NULL / PARSE_SECRET_PATH_CAN_BE_OPENED
$ -> PARSE_SECRET_PATH_CAN_BE_OPENED = MEMORY -> SECRET_PATH_CAN_BE_OPENED ? AFFECTING:SECRET_PATH / NULL
! -> SECRET_PATH = WAITFOR -> TIMER:3 ? AFFECTING:SECRET_PATH_CLOSED
