TIME -> 0 = GOTO -> NAME:REBECCA


//// STATE ////

$ -> DISPLAY_UP = DISPLAY -> 0,-8
! -> DISPLAY_NORMAL = DISPLAY -> 0,0


//// BAR GOBELIN ////

TALKED -> DONOVAN_GLASS*NEED_HELP = WAITFOR -> MOVE:3-7 ? FACING:UP, DISPLAY_UP
TALKED -> BRANDIS*YES = FACING -> LEFT
! -> CHOICE_BRANDIS_YES = MOVE -> 4-4
! -> TP_TO_BAR = TP -> 6-6
TALKED -> OBJECT*AKARA_DONT_BOTHER = FACING -> UP


//// NEON SQUIRE ////

TALKED -> BOUNCER*NEED_HELP_SQUIRE = WAITFOR -> TIMER:1 ? SLOW:7-4
GOAL -> 7-4 = GOTO -> FACING:DOWN
! -> CHOICE_YOU_SHALL_NOT_PASS = WAITFOR -> FAST:7-5 ? AFFECTING:DUMMY_03*PUSHED_BY_REBECCA, FAST:7-8
GOAL -> 7-8 = FAST -> 7-4
! -> MOVE_TO_BOUNCER = WAITFOR -> SLOW:6-4 ? FACING:DOWN
! -> PUSHED_TO_LEFT = PUSH -> LEFT


//// DANCEFLOOR PRINCE ////

! -> MOVE_TO_DANCE_FLOOR = WAITFOR -> MOVE:10-6 ? MOVE:14-6
! -> EXIT_DANCEFLOOR = GOTO -> MUSIC:NULL, MOVE:4-4

! -> A1 = MOVE -> 11-4
! -> B1 = MOVE -> 12-4
! -> C1 = MOVE -> 13-4
! -> D1 = MOVE -> 14-4
! -> E1 = MOVE -> 15-4
! -> F1 = MOVE -> 16-4
GOAL -> 11-4 = CHOICE -> PLAYER : (RIGHT)B1, (DOWN)A2
GOAL -> 12-4 = CHOICE -> PLAYER : (LEFT)A1, (RIGHT)C1, (DOWN)B2
GOAL -> 13-4 = CHOICE -> PLAYER : (LEFT)B1, (RIGHT)D1, (DOWN)C2
GOAL -> 14-4 = CHOICE -> PLAYER : (LEFT)C1, (RIGHT)E1, (DOWN)D2
GOAL -> 15-4 = CHOICE -> PLAYER : (LEFT)D1, (RIGHT)F1, (DOWN)E2
GOAL -> 16-4 = CHOICE -> PLAYER : (LEFT)E1, (DOWN)F2

! -> A2 = MOVE -> 11-5
! -> B2 = MOVE -> 12-5
! -> C2 = MOVE -> 13-5
! -> D2 = MOVE -> 14-5
! -> E2 = MOVE -> 15-5
! -> F2 = MOVE -> 16-5
GOAL -> 11-5 = CHOICE -> PLAYER : (UP)A1, (RIGHT)B2
GOAL -> 12-5 = CHOICE -> PLAYER : (LEFT)A2, (UP)B1, (RIGHT)C2
GOAL -> 13-5 = CHOICE -> PLAYER : (LEFT)B2, (UP)C1, (RIGHT)D2
GOAL -> 14-5 = CHOICE -> PLAYER : (LEFT)C2, (UP)D1, (RIGHT)E2
GOAL -> 15-5 = CHOICE -> PLAYER : (LEFT)D2, (UP)E1, (RIGHT)F2
GOAL -> 16-5 = CHOICE -> PLAYER : (LEFT)E2, (UP)F1, (DOWN)F3

! -> A3 = MOVE -> 11-6
! -> B3 = MOVE -> 12-6
! -> C3 = MOVE -> 13-6
! -> D3 = MOVE -> 14-6
! -> E3 = MOVE -> 15-6
! -> F3 = MOVE -> 16-6
GOAL -> 11-6 = CHOICE -> PLAYER : (UP)A2, (DOWN)A4, (LEFT)EXIT_DANCEFLOOR
GOAL -> 12-6 = MEMORY -> STEPHAN_ENTRANCE ? PRE_START_DANCING / MAZING_12_6
GOAL -> 13-6 = MEMORY -> STEPHAN_ENTRANCE ? START_DANCING / MAZING_13_6
$ -> MAZING_12_6 = CHOICE -> PLAYER : (UP)B2, (DOWN)B4, (LEFT)A3
$ -> MAZING_13_6 = CHOICE -> PLAYER : (UP)C2, (DOWN)C4, (LEFT)B3
GOAL -> 14-6 = CHOICE -> PLAYER : (UP)D2, (DOWN)D4, (LEFT)C3
GOAL -> 15-6 = CHOICE -> PLAYER : (UP)E2, (DOWN)E4, (LEFT)D3
GOAL -> 16-6 = CHOICE -> PLAYER : (UP)F2, (DOWN)F4, (LEFT)E3

! -> A4 = MOVE -> 11-7
! -> B4 = MOVE -> 12-7
! -> C4 = MOVE -> 13-7
! -> D4 = MOVE -> 14-7
! -> E4 = MOVE -> 15-7
! -> F4 = MOVE -> 16-7
GOAL -> 11-7 = CHOICE -> PLAYER : (RIGHT)B4, (DOWN)A5
GOAL -> 12-7 = CHOICE -> PLAYER : (LEFT)A4, (RIGHT)C4, (DOWN)B5
GOAL -> 13-7 = CHOICE -> PLAYER : (LEFT)B4, (RIGHT)D4, (DOWN)C5
GOAL -> 14-7 = CHOICE -> PLAYER : (LEFT)C4, (RIGHT)E4, (DOWN)D5
GOAL -> 15-7 = CHOICE -> PLAYER : (LEFT)D4, (RIGHT)F4, (DOWN)E5
GOAL -> 16-7 = CHOICE -> PLAYER : (LEFT)E4, (UP)F3, (DOWN)F5

! -> A5 = MOVE -> 11-8
! -> B5 = MOVE -> 12-8
! -> C5 = MOVE -> 13-8
! -> D5 = MOVE -> 14-8
! -> E5 = MOVE -> 15-8
! -> F5 = MOVE -> 16-8
GOAL -> 11-8 = CHOICE -> PLAYER : (UP)A4, (RIGHT)B5
GOAL -> 12-8 = CHOICE -> PLAYER : (LEFT)A5, (UP)B4, (RIGHT)C5
GOAL -> 13-8 = CHOICE -> PLAYER : (LEFT)B5, (UP)C4, (RIGHT)D5
GOAL -> 14-8 = CHOICE -> PLAYER : (LEFT)C5, (UP)D4, (RIGHT)E5
GOAL -> 15-8 = CHOICE -> PLAYER : (LEFT)D5, (UP)E4, (RIGHT)F5
GOAL -> 16-8 = CHOICE -> PLAYER : (LEFT)E5, (UP)F4


//// NIGHT KING ////

GOAL -> 4-4 = MEMORY -> ROPY_DANCE ? WAITFOR_TALK_AFTER_DANCE / NULL
$ -> WAITFOR_TALK_AFTER_DANCE = WAITFOR_COMPLEXE_TIMER -> 1,3 ? 1*AFFECTING:DONOVAN*SUSPENSION, 2*TALK:DONOVAN*AFTER_DANCE
! -> BRING_STEPHAN = GOTO -> CUTSCENE:START, MUSIC:NULL, TP:4-4, FACING:LEFT
! -> STEPHAN_ENTRANCE = WAITFOR -> TIMER:1 ? FACING:DOWN
TALKED -> STEPHAN*ACCEPT_TO_DANCE = WAITFOR_COMPLEXE_TIMER -> 1,3 ? 1*SLOW:9-6, 2*MUSIC:NULL
GOAL -> 9-6 = SLOW -> 12-6
$ -> PRE_START_DANCING = GOTO -> MUSIC_WITHOUT_TRANSITION:dance_floor, MOVE:13-6
$ -> START_DANCING = GOTO -> FACING:DOWN, START_FIRST_DANCE
$ -> START_FIRST_DANCE = OPEN_PUZZLE -> 13-0,1
