TIME -> 0 = GOTO -> HITBOX_INIT, BLOCKING_SIGHT:TRUE, TA_INIT, CREATE_PLANT, SPREAD_INTERACTIVENESS


//// STATE ////

$ -> HITBOX_INIT = HITBOX -> 3, 1, 10, 15
$ -> CREATE_PLANT = CREATE_DECORATION -> ONTHESPOT-FRONT:WORLD,1,1,PLANT,0-0,1-1
$ -> SPREAD_INTERACTIVENESS = GOTO -> SPREAD_INTERACTIVENESS_JESSY, SPREAD_INTERACTIVENESS_RATTATAC, SPREAD_INTERACTIVENESS_BUTCH
$ -> TA_INIT = TRIPLE_ACTION -> CUSTOM(TAKE_STOCK)TAKE_STOCK
$ -> SPREAD_INTERACTIVENESS_JESSY = SPREAD_INTERACTIVENESS -> ADD, 34-44
$ -> SPREAD_INTERACTIVENESS_RATTATAC = SPREAD_INTERACTIVENESS -> ADD, 13-27
$ -> SPREAD_INTERACTIVENESS_BUTCH = SPREAD_INTERACTIVENESS -> ADD, 25-18


//// TAKE STOCK ////

$ -> TAKE_STOCK = GOTO -> ACTION_THREE:CUSTOM(TAKE_STOCK)TAKE_STOCK, TAKE_STOCK_DOCUMENTS
$ -> TAKE_STOCK_DOCUMENTS = MEMORY -> DOCUMENTS ? TALK:TAKE_STOCK_SCENARIO_BOMB*EXIT / TAKE_STOCK_SCENARIO
$ -> TAKE_STOCK_SCENARIO = MEMORY -> SCENARIO_BOMB ? TAKE_STOCK_SCENARIO_BOMB / TAKE_STOCK_SCENARIO_KEY
$ -> TAKE_STOCK_SCENARIO_BOMB = UNLOCKEDTOOL -> SHOVEL:CYAN ? TALK_TAKE_STOCK_SCENARIO_BOMB_ARCHIVES_CONDITIONNAL / PARSE_EMAIL_DESK_ENABLE
$ -> TALK_TAKE_STOCK_SCENARIO_BOMB_ARCHIVES_CONDITIONNAL = NUMBER_SETTINGS -> TRUE ? TALK:TAKE_STOCK_SCENARIO_BOMB*ARCHIVES_NUMBER_SETTINGS / TALK:TAKE_STOCK_SCENARIO_BOMB*ARCHIVES
$ -> PARSE_EMAIL_DESK_ENABLE = MEMORY -> EMAIL_DESK_ENABLE ? TALK:TAKE_STOCK_SCENARIO_BOMB*EMAIL_DESK / PARSE_TOILET_EXPLODED
$ -> PARSE_TOILET_EXPLODED = MEMORY -> TOILET_EXPLODED ? TALK:TAKE_STOCK_SCENARIO_BOMB*CRIMINAL / PARSE_BOMB_SARAH_TALKED_ABOUT_PLAN
$ -> PARSE_BOMB_SARAH_TALKED_ABOUT_PLAN = MEMORY -> SARAH_TALKED_ABOUT_PLAN ? TALK:TAKE_STOCK_SCENARIO_BOMB*OUTSIDE / TALK:TAKE_STOCK_SCENARIO_KEY*BEFORE_PLAN

$ -> TAKE_STOCK_SCENARIO_KEY = UNLOCKEDTOOL -> KEY:YELLOW ? TALK:TAKE_STOCK_SCENARIO_KEY*DOCUMENTS / PARSE_TEDDY_YELLOW_KEY
$ -> PARSE_TEDDY_YELLOW_KEY = MEMORY -> TEDDY_YELLOW_KEY ? TALK:TAKE_STOCK_SCENARIO_KEY*DOCUMENTS / PARSE_LOOKING_FOR_YELLOW_KEY
