TIME -> 0 = GOTO -> NAME:RATTATAC, TEXTURE_NAME:POLICEMAN, SPREAD_INTERACTIVENESS_DOWN, SIT, TA_INIT, CREATE_TRASH_WALL


//// STATE ////

$ -> SPREAD_INTERACTIVENESS_DOWN = SPREAD_INTERACTIVENESS -> ADD_KEEP_HIGHLIGHT, 11-24
$ -> SPREAD_INTERACTIVENESS_CLEAR = SPREAD_INTERACTIVENESS -> CLEAR, 0-0
$ -> TA_INIT = TRIPLE_ACTION -> TALK(TALK)COFFEE_QUEST*RATTATAC
$ -> SIT = GOTO -> FACING:DOWN, CONDITION:SIT, DISPLAY_SIT
$ -> UNSIT = GOTO -> CONDITION:GOOD, DISPLAY_NORMAL
$ -> DISPLAY_NORMAL = DISPLAY -> 0, 0
$ -> DISPLAY_SIT = DISPLAY -> 0, 1
! -> TA_NULL = TRIPLE_ACTION -> NULL
SELFTALKING -> COFFEE_QUEST*RATTATAC = FACING_PLAYER -> UP
$ -> CREATE_CHAIR_WALL = CREATE -> 11-23-BACK:255-255-255
$ -> CREATE_TRASH_WALL = CREATE -> 13-23-BACK:255-255-255
$ -> CREATE_TRASH = CREATE -> 13-23-BACK:136-129-254
$ -> DELETE_TRASH_WALL = DELETE -> 13-23:WORLD,1


//// COFFEE QUEST ////

$ -> WATCHING_WALL = GOTO -> CONDITION:GOOD, DISPLAY_WATCHING_WALL, FACING:UP
$ -> DISPLAY_WATCHING_WALL = DISPLAY -> 0, 2
TALKED -> COFFEE_QUEST*RATTATAC_STEAL_THE_COFFEE = GOTO -> WATCHING_WALL
TALKED -> COFFEE_QUEST*RATTATAC_STEAL_THE_COFFEE_NEXT = GOTO -> FACING:DOWN, SIT


//// INFILTRATION ////

WONPUZZLE -> 14-19 = GOTO -> EXPLODED_WALL_REACTION, DELETE_TRASH_WALL, DELETE_TRASH_WALL, WAITFOR_RUSH_TOILET, SPREAD_INTERACTIVENESS_CLEAR
$ -> EXPLODED_WALL_REACTION = GOTO -> UNSIT, EXPRESSION:EXCLAMATION, PLAYER_AVOIDER_TYPE:FORCE
$ -> WAITFOR_RUSH_TOILET = MOVE -> 14-25
GOAL -> 14-25 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / CREATE_CHAIR_WALL, CREATE_TRASH, MOVE:15-25
GOAL -> 15-25 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-25
GOAL -> 16-25 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-24
GOAL -> 16-24 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-23
GOAL -> 16-23 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-22
GOAL -> 16-22 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-21
GOAL -> 16-21 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-20
GOAL -> 16-20 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / MOVE:16-19
GOAL -> 16-19 = SEE_PLAYER_AND_CLOSER_THAN -> 6 ? PLAYER_BUSTED / FACING:LEFT, EXPRESSION:SUSPENSION, WAITFOR_TIMER_ONE:CHECK_SEE_PLAYER_BEFORE_HEADING_CHIEF
$ -> CHECK_SEE_PLAYER_BEFORE_HEADING_CHIEF = SEE_PLAYER_AND_CLOSER_THAN -> 4 ? PLAYER_BUSTED / WAITFOR_TIMER_ONE:CHECK_TOILET_CLOPPASED
$ -> CHECK_TOILET_CLOPPASED = MEMORY -> TOILET_CLOPPASED ? FACING:DOWN, WAITFOR_STARE_WALL / WAITFOR_COLLAPSING_TOILET, CHECK_SEE_PLAYER_BEFORE_HEADING_CHIEF_NEXT
$ -> CHECK_SEE_PLAYER_BEFORE_HEADING_CHIEF_NEXT = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / FAST:21-30, AFFECTING:OBJ-35*WALL_TOILET_ADVICE
$ -> WAITFOR_COLLAPSING_TOILET = WAITFOR -> TIMER:3 ? COLLAPSING_TOILET, MEMORY:TOILET_CLOPPASED
$ -> COLLAPSING_TOILET = COLLAPSE -> RIGHT,14-19,250-2
GOAL -> 21-30 = WAITFOR -> TIMER:5 ? MOVE:21-31, AFFECTING:GIOVANNI*HEADING_TOILET
GOAL -> 21-31 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:21-32
GOAL -> 21-32 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:21-33
GOAL -> 21-33 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:21-34
GOAL -> 21-34 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:21-35
GOAL -> 21-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:20-35
GOAL -> 20-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:19-35
GOAL -> 19-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:18-35
GOAL -> 18-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:17-35
GOAL -> 17-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-35
GOAL -> 16-35 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-34
GOAL -> 16-34 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-33
GOAL -> 16-33 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-32
GOAL -> 16-32 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-31
GOAL -> 16-31 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-30
GOAL -> 16-30 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-29
GOAL -> 16-29 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-28
GOAL -> 16-28 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-27
GOAL -> 16-27 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-26
GOAL -> 16-26 = SEE_PLAYER_AND_CLOSER_THAN -> 5 ? PLAYER_BUSTED / MOVE:16-25
$ -> WAITFOR_STARE_WALL = WAITFOR -> TIMER:2 ? SLOW:15-19
GOAL -> 15-19 = WAITFOR -> TIMER:3 ? SLOW:16-19

$ -> PLAYER_BUSTED = GOTO -> CUTSCENE:START, MUSIC:NULL, EXPRESSION:EXCLAMATION, FACING:PLAYER, WAITFOR_SHOTING_PLAYER
$ -> WAITFOR_SHOTING_PLAYER = WAITFOR_COMPLEXE_TIMER -> 2,4 ? 1*SOUND:SHOOT_GUN, 1*CONDITION:GLASS, 1*AFFECTING:PLAYER*KILLED, 2*PLAYER_KILLED_END
$ -> PLAYER_KILLED_END = END_LVL -> GAME_OVER, PROCESS
