! -> INIT_MIAOUSS_COMPUTER_AND_CHAIR = GOTO -> HIGHLIGHT_INIT, TA_INIT


//// STATE ////

$ -> HIGHLIGHT_INIT = HIGHLIGHT -> 0, -1, 2, 2
$ -> TA_INIT = TRIPLE_ACTION -> CUSTOM(DO_RESEARCH)DO_RESEARCH
$ -> WAITFOR_NULL = WAITFOR -> NULL


//// DO RESEARCH ////

$ -> SIT = GOTO -> NAME:OBJ-20-COMPUTER, HIGHLIGHT_REFRESH:PROCESS, TP:10-44, 
$ -> DO_RESEARCH = GOTO -> SIT, AFFECTING:PLAYER*SAT_ON_MIAOUSS_COMPUTER, WAITFOR_TIMER_12, A1_STOP_RESEARCH
$ -> A1_STOP_RESEARCH = ACTION_ONE -> CUSTOM(STOP_PREMATURELY)STOP_RESEARCH
$ -> STOP_RESEARCH = GOTO -> NAME:OBJ-20, HIGHLIGHT_REFRESH:PROCESS, WAITFOR_NULL, TP:9-44, AFFECTING:PLAYER*LEAVE_MIAOUSS_COMPUTER, TA_INIT

$ -> WAITFOR_TIMER_12 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_12, WAITFOR_TIMER_11, SOUND:KEYBOARD
$ -> WAITFOR_TIMER_11 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_11, WAITFOR_TIMER_10
$ -> WAITFOR_TIMER_10 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_10, WAITFOR_TIMER_9
$ -> WAITFOR_TIMER_9 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_9, WAITFOR_TIMER_8, SOUND:KEYBOARD
$ -> WAITFOR_TIMER_8 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_8, WAITFOR_TIMER_7
$ -> WAITFOR_TIMER_7 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_7, WAITFOR_TIMER_6
$ -> WAITFOR_TIMER_6 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_6, WAITFOR_TIMER_5, SOUND:KEYBOARD
$ -> WAITFOR_TIMER_5 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_5, WAITFOR_TIMER_4
$ -> WAITFOR_TIMER_4 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_4, WAITFOR_TIMER_3
$ -> WAITFOR_TIMER_3 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_3, WAITFOR_TIMER_2, SOUND:KEYBOARD
$ -> WAITFOR_TIMER_2 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_2, WAITFOR_TIMER_1
$ -> WAITFOR_TIMER_1 = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_IN_1, WAITFOR_TIMER_OBTAINED
$ -> WAITFOR_TIMER_OBTAINED = WAITFOR -> TIMER:1 ? BONUS_TEXT_RESULTS_OBTAINED, STOP_RESEARCH, ACTION_ONE:NULL

$ -> BONUS_TEXT_RESULTS_IN_12 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_12
$ -> BONUS_TEXT_RESULTS_IN_11 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_11
$ -> BONUS_TEXT_RESULTS_IN_10 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_10
$ -> BONUS_TEXT_RESULTS_IN_9 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_9
$ -> BONUS_TEXT_RESULTS_IN_8 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_8
$ -> BONUS_TEXT_RESULTS_IN_7 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_7
$ -> BONUS_TEXT_RESULTS_IN_6 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_6
$ -> BONUS_TEXT_RESULTS_IN_5 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_5
$ -> BONUS_TEXT_RESULTS_IN_4 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_4
$ -> BONUS_TEXT_RESULTS_IN_3 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_3
$ -> BONUS_TEXT_RESULTS_IN_2 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_2
$ -> BONUS_TEXT_RESULTS_IN_1 = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_IN_1
$ -> BONUS_TEXT_RESULTS_OBTAINED = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,RESULTS_OBTAINED
