! -> DOOR_INIT = GOTO -> NAME:DOOR, TA_INIT


//// MISSING KEY ////

$ -> TA_INIT = TRIPLE_ACTION -> OPEN*TALK_DOOR_MISSING_KEY
$ -> TALK_DOOR_MISSING_KEY = TALK -> DOOR_MISSING_KEY
TALKED -> DOOR_MISSING_KEY = CHOICE -> SEARCH*SEARCH_FOR_KEY, THINK*THINK_ABOUT_LAST_KEY_POS
! -> SEARCH_FOR_KEY = TALK -> DOOR_SEARCH
TALKED -> DOOR_SEARCH = ACTION_ONE -> THINK*THINK_ABOUT_LAST_KEY_POS
$ -> THINK_ABOUT_LAST_KEY_POS = AFFECTING -> THINK_ABOUT_LAST_KEY_POS
! -> THINK_ABOUT_LAST_KEY_POS = TALK -> DOOR_THINK
TALKED -> DOOR_THINK = MEMORY -> KEY_POS_KNOWN


//// FOUND KEY ////

WONPUZZLE -> 6-0 = DELETE_ONTHESPOT -> 1
