! -> DOOR_INIT = GOTO -> NAME:DOOR, TA_INIT


//// MISSING KEY ////

$ -> TA_INIT = TRIPLE_ACTION -> OPEN*TALK_DOOR_MISSING_KEY
$ -> TALK_DOOR_MISSING_KEY = TALK -> DOOR_MISSING_KEY
TALKED -> DOOR_MISSING_KEY = CHOICE -> SEARCH*SEARCH_FOR_KEY, THINK*THINK_ABOUT_LAST_KEY_POS
! -> SEARCH_FOR_KEY = TALK -> DOOR_SEARCH
TALKED -> DOOR_SEARCH = ACTION_ONE -> THINK*THINK_ABOUT_LAST_KEY_POS
$ -> THINK_ABOUT_LAST_KEY_POS = AFFECTING -> THINK_ABOUT_LAST_KEY_POS
! -> THINK_ABOUT_LAST_KEY_POS = TALK -> DOOR_THINK


//// FOUND KEY ////

UNLOCKEDTOOL -> KEY:CYAN = TRIPLE_ACTION -> NULL
WONPUZZLE -> 6-0 = GOTO -> ACTION_GO_TO_WORK
$ -> ACTION_GO_TO_WORK = ACTION_ONE -> GO_TO_WORK*RAW_GO_TO_WORK


//// REBECCA TOWEL ////

! -> NAME_PLAYER_REBECCA = NAME -> REBECCA_TOWEL ? READY_TO_GO / NULL
$ -> READY_TO_GO = GOTO -> NAME:REBECCA, ACTION_GO_TO_WORK
! -> NAME_PLAYER_REBECCA_TOWEL = NAME -> REBECCA_TOWEL
$ -> RAW_GO_TO_WORK = NAME -> REBECCA_TOWEL ? TALK:GO_TO_WORK_TOWEL / GO_TO_WORK


//// END LVL ////

$ -> GO_TO_WORK = GOTO -> DELETE_ONTHESPOT:1
