///// CYAN /////

AwkwardTitle = That#was#awkward...
AwkwardText = Being#denied#a#hug
CookiesTitle = You're#a#diabetic,#Becky
CookiesText = Eat#100#cookies
FruitTitle = Cyber-Vegetarian
FruitText = Eat#a#virtual#fruit
FirstKillTitle = Meat#pancake
FirstKillText = Eliminate#Alicia
GeekaliTitle = A#crazy#$$day_capitalize
GeekaliText = Welcome#to#Geekali

///// GREEN /////

CryingTitle = The#taste#of#your#tears
CryingText = Three#in#tears#at#the#same#time

///// YELLOW /////

GoldenShowerTitle = Golden#Shower
GoldenShowerText = To#be#urinated#on...
TerminatedTitle = TERMINATED!
TerminatedText = Permanent#death#on#a#terminator

///// ORANGE /////

///// RED /////

///// PURPLE /////
