///// DISCO /////

DiscoFail = missed
DiscoGood = good
DiscoPerfect = perfect

///// HACK /////

ProcessorBack = back
ProcessorCPU = CPU
ProcessorDesktop = Desktop
ProcessorTrash = Trash
FolderSystem = System
FolderMusics = Musics
FolderImages = Images
FolderWindows = Windows
FolderPeripheral = PCI
PeripheralAudio = Audio
PeripheralCDplayer = CD#Player
PeripheralKeyboard = Keyboard
PeripheralMouse = Mouse
PeripheralNetMap = Net-Map
PeripheralPrinter = Printer
PeripheralRAM = RAM
PeripheralScreen = Screen
AntivirusLocker = Locker
AntivirusParalyzer = Paralyzer
AntivirusReverser = Reverser
AntivirusShrinker = Shrinker
AntivirusSpawner = Spawner
AntivirusTerminator = Terminator
Stars = Stars
Forest = Forest
Mountains = Mountains
River = River
Desert = Desert
Apple = Apple
Banana = Banana
Grapes = Grapes
Potato = Potato
Car = Car
Truck = Truck
Cat = Cat
Dog = Dog
Snake = Snake
Dolphin = Dolphin
Horse = Horse
Jazz = Jazz
Classic = Classic
Rock = Rock
Rap = Rap
RnB = RnB
Metal = Metal
Reggae = Reggae
HipHop = Hip-Hop
Folk = Folk
Electro = Electro
