///// LEVEL /////

Cyan = cyan
Green = green
Yellow = yellow
Orange = orange
Red = red
Purple = purple

///// KEY /////

KeyGenderThe = the
KeyGenderA = a
Key = key
KeyCyan = cyan#key
KeyGreen = green#key
KeyYellow = yellow#key
KeyOrange = orange#key
KeyRed = red#key
KeyPurple = purple#key

///// BOMB /////

BombGenderThe = the
BombGenderA = a
Bomb = bomb
BombCyan = cyan#bomb
BombGreen = green#bomb
BombYellow = yellow#bomb
BombOrange = orange#bomb
BombRed = red#bomb
BombPurple = purple#bomb

///// MICROCHIP /////

MicrochipGenderThe = the
MicrochipGenderA = a
Microchip = chip
MicrochipCyan = cyan#chip
MicrochipGreen = green#chip
MicrochipYellow = yellow#chip
MicrochipOrange = orange#chip
MicrochipRed = red#chip
MicrochipPurple = purple#chip

///// SHOVEL /////

ShovelGenderThe = the
ShovelGenderA = a
Shovel = shovel
ShovelCyan = cyan#shovel
ShovelGreen = green#shovel
ShovelYellow = yellow#shovel
ShovelOrange = orange#shovel
ShovelRed = red#shovel
ShovelPurple = purple#shovel
