///// CYAN /////

AwkwardTitle = C'etait#genant...
AwkwardText = Se#faire#refuser#un#calin
CookiesTitle = Tu#es#diabetique,#Becky
CookiesText = Manger#100#cookies
InTheToiletTitle = Toujours#au#3eme#endroit
InTheToiletText = Trouver#les#cles#dans#les#WC
FruitTitle = Cyber-Vegetarien
FruitText = Manger#un#fruit#virtuel
FirstKillTitle = Crepe#a#la#viande
FirstKillText = Eliminer#Alicia

///// GREEN /////

///// YELLOW /////

BrokenHeartTitle = Coeur#Brise
BrokenHeartText = Refuser#de#sortir#avec#Marie
GoldenShowerTitle = Golden#Shower
GoldenShowerText = Se#faire#uriner#dessus...
TerminatedTitle = EXTERMINATION#!
TerminatedText = Mort#definitive#sur#un#terminator

///// ORANGE /////

///// RED /////

ThatWasAnAccidentTitle = C'etait#un#accident...
ThatWasAnAccidentText = Mourir#a#cause#d'un#canape

///// PURPLE /////
