///// LOADING /////

Loading = Chargement
LevelCompleted = Niveau#Terminé
LevelTime = Temps
LevelTimeUnit = Sec
LevelPuzzle = Puzzle#Fini
LevelBestDeed = Bonne#Action
LevelWorstDeed = Mauvaise#Action
LevelEndingAchieved = Fin#Obtenue
LevelYouArePragmatic = Vous#êtes#:#pragmatique
LevelYouAreFast = Vous#êtes#:#rapide
LevelYouAreConscientious = Vous#êtes#:#consciencieux
LevelYouAreNice = Vous#êtes#:#gentil
LevelYouAreMean = Vous#êtes#:#méchant
LevelYouAreBipolar = Vous#êtes#:#bipolaire
LevelClickToContinue = Cliquez#pour#continuer

///// MAIN /////

PlayButton = jouer
OptionsButton = options
QuitButton = quitter
BackButton = retour

///// PLAY /////

DifficultyEasy = facile
DifficultyNormal = normal
DifficultyHard = difficile
EasyDetail1 = double#XP
EasyDetail2 = puzzle#plus#faciles
NormalDetail1 = l'experience#du#jeu
NormalDetail2 = original
HardDetail1 = puzzle#plus#durs
HardDetail2 = une#seule#vie

///// GAME /////

GameButton = jeu
Reset = reset

///// RESET /////

Confirm = confirmer
ResetDetail1 = Votre#progression#sera
ResetDetail2 = definitivement#perdue

///// CONTROLS /////

ControlsButton = controles
Up = haut
Down = bas
Left = gauche
Right = droite
Action1 = action#1
Action2 = action#2
Action3 = action#3
Default = par#defaut

///// AUDIO /////

AudioButton = audio
VolumeMain = principal
VolumeMusic = musique
VolumeSound = son
VolumeVoice = voix

///// VIDEO /////

VideoButton = video
Camera = camera
CameraStatic = statique
CameraDynamic = dynamique
CameraDetail = La#Camera#suit#le#joueur
StaticDetail = au#pixel#pres
DynamicDetail = de#façon#fluide
