///// DISCO /////

DiscoFail = raté
DiscoGood = bien
DiscoPerfect = parfait

///// HACK /////

ProcessorBack = retour
ProcessorCPU = CPU
ProcessorDesktop = Bureau
ProcessorTrash = Corbeille
FolderSystem = Système
FolderMusics = Musiques
FolderImages = Images
FolderWindows = Windows
FolderPeripheral = PERIF
PeripheralAudio = Audio
PeripheralCDplayer = Lecteur#CD
PeripheralKeyboard = Clavier
PeripheralMouse = Souris
PeripheralNetMap = Réseau
PeripheralPrinter = Imprimante
PeripheralRAM = RAM
PeripheralScreen = Écran
AntivirusLocker = Bloqueur
AntivirusParalyzer = Paralyseur
AntivirusReverser = Inverseur
AntivirusShrinker = Rikikiteur
AntivirusSpawner = Producteur
AntivirusTerminator = Terminator
Stars = Étoiles
Forest = Forêt
Mountains = Montagnes
River = Riviève
Desert = Désert
Apple = Pomme
Banana = Banane
Grapes = Raisins
Potato = Patate
Car = Voiture
Truck = Camion
Cat = Chat
Dog = Chien
Snake = Serpent
Dolphin = Dauphin
Horse = Cheval
Jazz = Jazz
Classic = Classique
Rock = Rock
Rap = Rap
RnB = RnB
Metal = Metal
Reggae = Reggae
HipHop = Hip-Hop
Folk = Folk
Electro = Électro
